**********************
RPMD umbrella sampling
**********************

Temperature                             = 300 K
Number of beads                         = 32
Time step                               = 0.0005 ps
Reaction coordinate                     = 0.22000000
Equilibration time                      = 10 ps (20000 steps)
Trajectory evolution time               = 50 ps (100000 steps)
Force constant                          = 30

=============== =============== =========== =============== ===============
total av        total av2       count       xi_mean         xi_var
=============== =============== =========== =============== ===============
 21996.21327853   4841.04193726      100000     2.19962e-01     2.70795e-05
 43988.50865079   9680.85048094      200000     2.19943e-01     2.95301e-05
 65983.25378713  14521.74394187      300000     2.19944e-01     3.03711e-05
 87980.94067384  19364.00139128      400000     2.19952e-01     3.09665e-05
109975.24203976  24204.34871160      500000     2.19950e-01     3.04820e-05
131969.44276604  29045.61917535      600000     2.19949e-01     3.17713e-05
153963.66336236  33886.12288368      700000     2.19948e-01     3.15845e-05
175956.98974334  38726.67185922      800000     2.19946e-01     3.19926e-05
197949.10080992  43566.46132656      900000     2.19943e-01     3.20601e-05
219941.45098327  48406.49173560     1000000     2.19941e-01     3.22499e-05
241934.02639437  53246.56444392     1100000     2.19940e-01     3.23535e-05
263929.33155036  58087.68074901     1200000     2.19941e-01     3.23089e-05
285924.65348266  62928.58258041     1300000     2.19942e-01     3.21005e-05
307917.47942308  67768.56637191     1400000     2.19941e-01     3.20504e-05
329913.37270547  72609.93199114     1500000     2.19942e-01     3.20287e-05
351907.54761929  77450.08764713     1600000     2.19942e-01     3.17258e-05
373898.90599572  82289.68686276     1700000     2.19941e-01     3.18601e-05
395890.39896986  87129.10379226     1800000     2.19939e-01     3.18453e-05
417887.05764969  91971.11844796     1900000     2.19941e-01     3.20034e-05
439881.75625637  96811.91411779     2000000     2.19941e-01     3.19672e-05
