      100000    -7008.2146699154      494.2877594055   -7.00821467e-02    3.13703081e-05  |       -108.83078114       -105.85702120         91.26974464        119.81788760      1.05230611e+02  |        -94.74283081        -99.18666105       -104.68398730       -108.96313864       -101.09045808       -109.47421044       -107.95988351       -109.43057044       -107.35058217       -109.42746573       -109.05468391       -108.27946727       -103.51761355       -109.46616040       -106.95382739       -107.76592106       -109.46236991       -107.22572423        -96.91085495       -104.62584447       -103.95013922       -109.49628041       -109.31492140       -105.43037382       -107.84707688       -109.32825691       -106.28454519       -107.53167463       -108.86463938       -109.18412429        -99.64884044        -94.97155037
      200000    -7008.9169020735      494.5056292176   -7.00891690e-02    3.25646782e-05  |       -109.48677264       -108.02893963         82.80386474        137.96982079      1.12744746e+02  |       -109.32590871       -108.43332230       -109.48860802       -108.09985143       -109.49652392       -109.41501831       -108.96614250       -109.03506916       -109.21951598       -109.49081874       -101.40080704       -109.43454653       -103.04888899       -109.37065719       -109.41780954       -102.50348050       -109.08229356       -108.18983823       -109.05661416       -104.59970484       -109.49625143       -105.38465755       -108.87349218       -109.46504298       -107.81687473       -108.57274942       -109.29501952       -108.26595223       -107.62849237       -108.78154279       -109.46656267       -106.80401053
      300000    -7006.7523685180      494.0639376336   -7.00675237e-02    3.11815010e-05  |       -108.70426063       -104.80743539         78.29032621        134.20363675      1.07686528e+02  |       -109.17204066       -107.21368029       -108.32479693       -109.34531317       -109.45608782       -109.38388746       -106.27318043        -95.48944315       -103.47142446       -103.55164833       -104.88617270       -106.82965823       -108.77642870       -109.07173328       -103.94005090        -94.78947504        -80.28181126        -92.34955958       -103.92821732       -109.32312386       -109.02375597       -107.30552034       -108.15388157       -109.17964982       -109.15139349       -102.88269838        -95.41266005       -108.27596085       -109.21925359       -105.95388275       -103.97429056       -109.44725153
      400000    -7003.0020288496      493.3779969644   -7.00300203e-02    2.95762280e-05  |       -106.61370305       -106.25855846         99.92219515        144.32049071      1.37984127e+02  |       -109.33392435       -109.06814268       -109.13342284       -107.09403224       -106.90606739       -101.74413057       -107.06184299       -109.25313079       -109.43131727        -96.63729839       -108.94746538       -109.49705365       -101.46350763        -96.63376515       -104.04771287       -107.10124735       -109.47901912       -109.01452641       -104.83735271       -108.13279971       -101.12731713        -99.22453515       -109.23517199       -109.08795219       -107.21768255       -108.72196761       -109.48826626       -100.65203919       -107.42620578       -104.86205586       -109.48689437       -108.92602331
      500000    -7005.5706469421      493.8693498228   -7.00557065e-02    3.08914893e-05  |       -109.47456456       -108.29649190         90.72300018        143.66917152      1.26095680e+02  |       -107.52449974       -105.88797053       -107.79828220       -108.77621775       -109.46683759       -102.16701939       -108.66112057       -106.45102380       -105.51469480       -108.40453949       -109.30627741       -109.42157017       -108.72945334       -109.23288168       -109.40891373       -109.30785425       -109.24474244       -109.37880228       -108.74601312       -108.90630646       -109.46248930       -108.12632341       -109.31160830       -109.41575512       -109.24982862       -107.99452019       -109.33903796       -108.90513987       -107.99830738       -108.66360150       -107.26800031       -107.41810816
      600000    -7008.4423932016      494.6601734286   -7.00844239e-02    3.47752564e-05  |       -107.67003966       -105.20209951         86.09507547        137.54270512      1.18435681e+02  |        -60.10804037       -106.17234561       -106.11920009       -106.95685875       -107.82379089       -109.48731158       -105.17071737       -101.71231702       -107.78928686       -101.48654854       -106.56610594       -108.79596508       -109.06999026       -104.07914375       -109.39753606       -105.56222287       -103.78542069       -108.84251648       -106.84746680       -108.90349146       -100.86814511       -109.40588667       -103.84654344       -104.15980419       -108.50336047       -104.30420041       -108.15058781       -109.23596252       -109.46973980       -109.32718881       -109.01300187       -105.50648660
      700000    -7006.1883956256      494.1627371106   -7.00618840e-02    3.29597876e-05  |       -108.71047491       -105.29189153         83.27519968        141.59808479      1.19581393e+02  |       -100.95673509       -109.45105319       -108.03665550       -108.71868620       -108.43264705       -109.28405287       -109.27947359       -105.77110442       -104.78590612       -106.64177334       -108.87313516       -109.48714332       -103.25754067       -107.59904628       -100.34929625        -85.55177301       -104.75925316        -92.78398041        -98.51012733       -102.89611496        -92.71128807       -108.46999583       -107.46481255       -109.40998223       -107.96542780       -107.14989625       -108.66740305       -109.13138475       -109.23866232       -106.80615170       -109.35346931       -107.54655704
      800000    -7001.9297604263      493.4502197043   -7.00192976e-02    3.18001600e-05  |       -109.27425823       -107.42792099         74.25604655        127.64937973      9.44775053e+01  |       -109.40792437       -108.72987566       -106.36813985       -106.02108209       -109.27205464       -106.52088441       -109.07462495       -109.30220419       -109.42278248       -106.17491441       -107.76508831       -108.96585004       -106.66185442       -109.38443413       -108.49557848       -106.50001097       -103.04697830       -109.49247536       -104.39906041       -107.35356426       -107.19248695       -106.13529691       -109.46676990       -107.37018447       -104.16355645       -101.29634256       -109.48697464       -108.46197978       -109.36924967       -105.86675549       -107.05048522       -109.47400795
      900000    -7002.2601176638      493.3037957936   -7.00226012e-02    2.98732824e-05  |       -109.33858101       -105.69639034        103.83651360        124.80025510      1.22940378e+02  |       -109.10965798       -104.96683680       -108.03067218       -101.53966788       -101.41527273        -95.10120025       -102.36462676       -106.42234716       -106.36680942       -103.95790209       -108.95084172       -109.03257325       -106.80493631       -107.76588476       -109.48194800       -105.25300177       -102.42579195       -102.97307229       -109.49774055       -108.91542887       -107.12536181       -109.22526237       -108.52855980       -107.62429261       -102.99582511       -107.54235208       -108.34337596       -108.44926834        -94.92948812       -101.00737242       -106.73911842       -109.39800127
     1000000    -7004.9460113704      494.1318357556   -7.00494601e-02    3.43914953e-05  |       -108.43844268       -106.54110585         76.31984438        152.37098727      1.22149726e+02  |       -104.11800894       -109.46441120       -108.59163831       -109.02511149       -107.42738912       -108.77590736       -100.97346011       -109.48874300       -104.09438906       -104.56799125       -109.48647602       -106.55035483        -95.92715494       -109.46730474       -107.12662908       -109.49764488       -109.46402749       -109.36238728       -109.34304297        -99.95139111       -109.08632166       -109.42124032       -108.16814095        -96.93104892       -108.02511572       -107.10119526        -99.97319863       -109.34839573       -101.17190832       -108.94302393       -108.99950167       -109.44283306
