**********************
RPMD umbrella sampling
**********************

Temperature                             = 300 K
Number of beads                         = 32
Time step                               = 0.0005 ps
Reaction coordinate                     = 0.82000000
Equilibration time                      = 10 ps (20000 steps)
Trajectory evolution time               = 50 ps (100000 steps)
Force constant                          = 30

=============== =============== =========== =============== ===============
total av        total av2       count       xi_mean         xi_var
=============== =============== =========== =============== ===============
 81981.66280656  67213.26965752      100000     8.19817e-01     3.33929e-05
163959.52115749 134420.15028634      200000     8.19798e-01     3.26370e-05
245936.04728960 201624.46537665      300000     8.19787e-01     3.11140e-05
327916.19534750 268835.20408802      400000     8.19790e-01     3.15654e-05
409890.00535721 336035.12318391      500000     8.19780e-01     3.09804e-05
491867.43939208 403241.11180327      600000     8.19779e-01     3.08032e-05
573847.79010412 470452.00855088      700000     8.19783e-01     3.08567e-05
655822.33023559 537653.43864658      800000     8.19778e-01     3.09720e-05
737797.01949833 604855.01806319      900000     8.19774e-01     3.09559e-05
819770.37223724 672054.62402059     1000000     8.19770e-01     3.11608e-05
901748.32834191 739261.65421168     1100000     8.19771e-01     3.12165e-05
983724.77646057 806466.15729136     1200000     8.19771e-01     3.12173e-05
1065702.87058305 873673.27346466     1300000     8.19771e-01     3.11522e-05
1147681.43389705 940880.94808284     1400000     8.19772e-01     3.09457e-05
1229654.69309394 1008080.14326639     1500000     8.19770e-01     3.09114e-05
1311628.96029430 1075281.13159683     1600000     8.19768e-01     3.09692e-05
1393605.21951768 1142485.33426083     1700000     8.19768e-01     3.09897e-05
1475580.94600682 1209688.68047065     1800000     8.19767e-01     3.10175e-05
1557561.18560333 1276899.44324590     1900000     8.19769e-01     3.10513e-05
1639535.08818701 1344099.85680537     2000000     8.19768e-01     3.11021e-05
