**********************
RPMD umbrella sampling
**********************

Temperature                             = 300 K
Number of beads                         = 32
Time step                               = 0.0005 ps
Reaction coordinate                     = 1.16000000
Equilibration time                      = 10 ps (20000 steps)
Trajectory evolution time               = 50 ps (100000 steps)
Force constant                          = 30

=============== =============== =========== =============== ===============
total av        total av2       count       xi_mean         xi_var
=============== =============== =========== =============== ===============
116068.81487180 134722.67355758      100000     1.16069e+00     2.97570e-05
232138.51827949 269447.53433130      200000     1.16069e+00     3.03799e-05
348210.87571144 404178.64252239      300000     1.16070e+00     3.08755e-05
464281.05068858 538904.52517088      400000     1.16070e+00     3.07252e-05
580349.03036420 673625.17963325      500000     1.16070e+00     3.03711e-05
696419.23827685 808351.43305797      600000     1.16070e+00     3.08455e-05
812485.90972475 943069.59382362      700000     1.16069e+00     3.13514e-05
928556.61541940 1077796.83852763      800000     1.16070e+00     3.13793e-05
1044624.51141469 1212517.69111588      900000     1.16069e+00     3.15459e-05
1160695.96786806 1347246.47007859     1000000     1.16070e+00     3.13403e-05
1276765.07676193 1481970.27848652     1100000     1.16070e+00     3.16075e-05
1392834.22651340 1616693.86220029     1200000     1.16070e+00     3.15640e-05
1508901.05003728 1751412.11360623     1300000     1.16069e+00     3.15792e-05
1624972.28873704 1886140.78854571     1400000     1.16069e+00     3.17167e-05
1741041.15603382 2020863.82898334     1500000     1.16069e+00     3.17495e-05
1857110.25089894 2155587.23150481     1600000     1.16069e+00     3.16744e-05
1973179.94889173 2290311.94935350     1700000     1.16069e+00     3.15582e-05
2089252.79746187 2425043.78802614     1800000     1.16070e+00     3.13478e-05
2205322.74365053 2559769.45511369     1900000     1.16070e+00     3.14574e-05
2321393.52663055 2694496.87307860     2000000     1.16070e+00     3.14602e-05
