**********************
RPMD umbrella sampling
**********************

Temperature                             = 300 K
Number of beads                         = 32
Time step                               = 0.0005 ps
Reaction coordinate                     = 0.35000000
Equilibration time                      = 10 ps (20000 steps)
Trajectory evolution time               = 50 ps (100000 steps)
Force constant                          = 30

=============== =============== =========== =============== ===============
total av        total av2       count       xi_mean         xi_var
=============== =============== =========== =============== ===============
 34994.47845825  12248.91987792      100000     3.49945e-01     2.78465e-05
 69988.56328430  24498.03514257      200000     3.49943e-01     3.02009e-05
104980.06388559  36745.22690590      300000     3.49934e-01     3.06029e-05
139972.81887038  48993.41622193      400000     3.49932e-01     3.11029e-05
174965.58692565  61241.26516907      500000     3.49931e-01     3.07039e-05
209958.24313828  73489.11426090      600000     3.49930e-01     3.05686e-05
244948.88043997  85735.53077771      700000     3.49927e-01     3.04439e-05
279944.15824698  97985.42928150      800000     3.49930e-01     3.06433e-05
314938.76259849 110234.63540959      900000     3.49932e-01     3.05527e-05
349931.55764156 122482.70745065     1000000     3.49932e-01     3.06124e-05
384924.45049152 134731.04145004     1100000     3.49931e-01     3.08372e-05
419916.15724265 146978.29597328     1200000     3.49930e-01     3.08167e-05
454908.99067711 159226.45795386     1300000     3.49930e-01     3.08909e-05
489903.47911140 171475.81387572     1400000     3.49931e-01     3.09799e-05
524897.81960276 183725.01171962     1500000     3.49932e-01     3.10207e-05
559893.09132509 195975.03124571     1600000     3.49933e-01     3.11626e-05
594882.54663685 208220.66651283     1700000     3.49931e-01     3.11034e-05
629876.60680191 220469.43949403     1800000     3.49931e-01     3.10035e-05
664868.81308206 232717.12157422     1900000     3.49931e-01     3.10228e-05
699863.74118107 244966.87500833     2000000     3.49932e-01     3.11234e-05
