      100000   114110.9141319039   130215.8970813485    1.14110914e+00    2.88984116e-05  |       -108.32299094       -107.22172570         72.05799213        175.25124903      1.40087515e+02  |       -103.72091624       -100.11782051       -104.91500940       -106.36658635       -107.21481642       -109.34572334       -107.05727319       -108.01628343       -104.96928564       -109.15542487       -106.49220330       -109.29162723       -109.37348678       -104.38932550       -108.91197668       -108.20565883       -102.15600795       -108.18188454       -108.75771244       -109.39320589       -109.36699565       -109.18582236       -102.28004829       -106.31104492       -109.43458796       -109.37209995       -108.08732717       -109.07243922       -108.30669552       -106.99535334       -108.44355138       -108.20702820
      200000   114106.1229898592   130205.1313053928    1.14106123e+00    3.05826762e-05  |       -107.54006057       -106.37408593         72.27037345        162.80674523      1.28703033e+02  |       -100.17997566        -94.70928901       -108.73041624       -108.57594188       -104.37278995       -106.46953465       -107.79744348       -107.74051960       -104.53723194       -104.47537453       -107.21790058       -104.94626341       -106.37875325       -109.27437526       -108.03714327       -108.77521421        -99.29202301       -107.68133652       -109.16878657       -109.11745564       -109.07136474       -109.30910520       -108.83188004       -107.77456486       -105.97542280       -108.14661657       -103.59700308       -109.16356113       -101.49877216       -107.73725242       -108.88087421       -106.50656384
      300000   114112.5534380367   130220.2686242483    1.14112553e+00    3.52010276e-05  |       -109.45886155       -105.91169430         83.09492466        173.52222571      1.50705456e+02  |        -94.07719950       -109.43750033       -107.93308445        -97.34794682       -106.35853477       -106.17472898       -109.01236971       -107.99878862       -105.99273116       -107.74401691       -107.86121202       -109.41969437       -109.45284074       -103.47892102       -103.14984640       -105.87087114       -109.14226985       -102.28089537       -104.04955105       -102.69534577        -99.71893468       -109.34386984       -104.61280926       -109.31019965       -109.28446675       -106.95143291       -109.40130577       -108.32100517       -103.36064056       -103.94103922       -107.43565374       -108.01451102
      400000   114110.4875087487   130215.1207482868    1.14110488e+00    3.08715344e-05  |       -109.24880813       -105.93703510         84.97063289        130.38051207      1.09414110e+02  |        -98.91477656       -106.55568449        -89.17969655       -100.44635611       -107.00859249       -108.13782295       -104.74462672       -106.90525869       -108.56178295       -106.80446290       -105.40546567       -108.99894387       -106.04510811       -108.47961388       -108.68504075       -107.80059930       -104.47945379       -103.93366392       -109.05851122       -104.75033351       -104.93161129       -108.52836941       -108.28142587       -109.05664845       -108.55764656       -108.31273137       -107.32481040       -108.08974059       -104.62760748       -108.80386249       -102.19472169       -106.38015311
      500000   114107.0611796651   130207.3883021824    1.14107061e+00    3.17419158e-05  |       -109.12802985       -107.54532495         81.52289154        110.15412036      8.41316869e+01  |       -104.99767631       -107.54043047       -104.87042380       -101.15919265       -108.72498732       -108.62925486       -109.07994615       -109.22944501       -108.90606948       -107.92896482       -108.91905833       -108.94963837       -109.22926222       -109.24664525       -108.93104731       -108.69660318       -105.49614710       -108.51572373       -105.69665982        -98.80640662       -109.02706033       -109.18038216       -108.98704697       -108.99220331       -109.32778756       -106.83634884       -108.23260897       -107.67858141       -108.87674800       -108.70839722       -105.64402528       -106.40562549
      600000   114108.7214758454   130211.3245261725    1.14108721e+00    3.32135765e-05  |       -108.95801680       -105.36303391         92.10790143        124.14652616      1.10891394e+02  |        -88.66653212       -101.66637941       -107.48852874       -103.05641456       -109.11133500        -96.88019449       -101.72499410       -109.41855725       -108.07691591       -108.40971385       -109.37286620       -109.16763950       -107.21165106       -108.54722710       -109.30170483       -106.16858175       -100.77803034       -106.96615881       -108.26433967       -109.01864556        -87.84364521       -104.60991754       -106.84483376       -107.98449794       -108.42127651       -109.35741374       -107.08232143       -102.96752675       -108.58848616       -106.56387639       -109.21611739       -102.84076194
      700000   114108.5133927127   130210.6162441999    1.14108513e+00    3.08795725e-05  |       -109.37753173       -105.97444068         91.61868350        151.87939241      1.37523635e+02  |       -102.46907045       -103.01576159       -103.30745421       -101.41949744       -107.40027228       -107.10307307       -108.39172165       -109.23091019       -108.28156932       -109.11302947       -109.20212133       -105.08611961       -108.91263367       -108.35093791       -108.57403333       -108.52687738       -107.74335073       -104.13722081       -107.56241256        -92.10232827       -109.49806556       -109.31153694       -106.51767947        -94.54569704       -109.05705927       -109.24975890       -100.86797643       -107.62805982       -107.78309466       -105.86204116       -104.52582685       -106.40491042
      800000   114107.1101029135   130207.3606313880    1.14107110e+00    3.03487100e-05  |       -109.21415389       -105.54934862         81.48289733        143.70165582      1.19635205e+02  |       -107.17428380       -108.58958079       -106.78333854       -109.29014484       -109.41811360       -107.87702816       -109.35951302       -105.86328417       -108.13243273       -107.40599461       -104.57301630        -88.88756415        -97.86981785       -103.80426065       -109.11687589       -109.32138544        -99.63210698       -102.71435428       -108.99878853       -109.04555386       -105.07622576        -88.30708923       -107.93629341       -107.76259715       -109.21791463       -107.33971810       -106.82730700       -106.12006755       -101.98655939       -106.06987997       -108.27377604       -108.80428956
      900000   114111.7973032608   130218.0910920754    1.14111797e+00    3.06825427e-05  |       -108.94608576       -105.52839847         81.52261077        133.33409121      1.09328304e+02  |       -109.16222451       -109.14777116       -108.76619970       -107.31234126       -108.96104222       -107.05397758       -104.37633128       -108.64519039       -108.96991963       -105.03948431       -106.49047484       -108.76121354       -108.74927962        -96.35129596       -107.96852554       -100.84549693        -86.26591365        -92.23886800        -99.82493985       -108.31310137       -108.38610401       -108.51494025       -108.67993306       -100.88009406       -108.90700814       -107.79016800       -108.82186004       -108.05131406       -101.26968930       -104.60763100       -108.98865647       -108.76776145
     1000000   114106.0964959767   130204.9694406965    1.14106096e+00    2.95686520e-05  |       -109.18448381       -106.64323588        101.21414037        118.55248773      1.13123392e+02  |       -107.82660896       -108.77594598       -109.47723498       -107.86022518       -102.46771115       -108.62092874       -109.37119927       -100.53672926       -105.69367764       -107.54173666       -108.01098321       -107.69792370       -102.86133328       -107.91763050       -108.40487515       -108.71576693       -108.21596840       -104.81907676       -107.30129504       -108.42070072       -108.69349384       -104.85483189       -103.39252061       -109.31338381       -109.22225431       -107.04818000       -109.44956256       -106.31283857        -94.55293921       -105.22664895       -104.65853729       -109.32080569
     1100000   114114.7707177979   130224.8319978749    1.14114771e+00    3.02303812e-05  |       -108.66964111       -106.41402511         92.00635165        173.38417960      1.58976506e+02  |       -108.65242787       -109.20835295       -109.38012831       -104.07639352       -108.85629467       -108.61139275       -103.54961037       -109.28664365       -109.38022747       -104.10391456       -103.63165529        -98.55284564       -108.47395972       -109.12411295        -99.02183813       -107.79986247       -108.03171407       -108.65944983       -106.61751731       -107.51026342       -106.56396901        -99.94029959       -103.97366577       -105.34347856       -108.73104472       -108.71340376       -106.56161249       -107.66637405       -109.18731365       -102.52644424       -104.71384094       -108.79875171
     1200000   114106.9464142553   130206.9244480207    1.14106946e+00    2.97224816e-05  |       -108.38953839       -104.75385352         85.60893621        136.53978970      1.17394872e+02  |       -104.62624375       -101.77026692       -106.50774625       -107.66459720       -104.70311078       -107.85360403       -106.26564527       -102.78061707       -108.76968834       -108.92985664       -108.98674757       -106.38965150        -96.95750105        -89.29273406       -108.68516238       -107.85058589       -107.99680076       -108.18105243       -108.47708791        -97.22749410        -97.10241132       -108.68846905       -108.28801676       -108.30936432       -105.30170075        -95.14139961       -108.92648573       -107.94039830        -95.84929853       -108.21091917       -107.95771846       -100.49093664
     1300000   114108.9715925502   130211.7428579170    1.14108972e+00    3.16887882e-05  |       -107.90176393       -106.72094450         95.27910441        145.33610230      1.33894262e+02  |        -98.60827175       -108.34616416       -108.80599695       -108.90736821       -107.87808188       -102.20994880       -108.75880871       -109.38911067       -108.85238767       -105.94113629       -109.37883026       -107.26063486       -108.78378498       -103.69230963       -103.85506312       -106.48404349       -109.14125545       -107.17573654       -103.94749105       -108.19774696       -108.44136653       -107.74907730       -108.65940682       -109.06906359       -105.25118147       -106.22987773       -106.10315609       -109.10936968        -93.80752039       -107.52097628       -108.56019513       -108.95486154
     1400000   114106.8799450230   130206.8569392383    1.14106880e+00    3.05643136e-05  |       -109.36525153       -106.55435045         88.62791993        123.43358823      1.05507158e+02  |       -109.39983250       -103.79110197       -102.29716454       -108.35333816        -86.39892751       -109.30867034        -97.95186108       -108.79672256       -103.09176485       -108.54792092       -109.24717412       -109.27018586       -109.08505323       -108.52270292       -109.30889357       -106.12307714       -108.39891195       -109.21455466       -109.24939889       -109.40333492       -105.10123725       -109.38965614       -107.39119617       -108.35104447       -108.89860136       -109.28468597       -108.80800671       -109.05000867        -99.98258487       -107.02846932       -106.46909650       -104.22403539
     1500000   114109.3245177726   130212.3944549130    1.14109325e+00    3.01503589e-05  |       -108.36820255       -107.10768032         83.78600807        124.27350952      1.00951837e+02  |       -108.33473151       -107.60988989       -107.37155147       -105.72305410       -109.10922059       -108.33829234       -108.86085977       -107.45750956       -108.31240656       -108.51025424       -109.01919888       -105.86222948       -108.60678380       -108.96694535       -109.04143896       -107.87567480       -106.89797128       -108.58090939        -98.91955848       -109.03664376       -108.10564146       -108.63647870       -109.11984711       -108.55783474       -100.15066880       -106.74215490       -105.76199278       -109.24190453       -108.17309430       -107.57663684       -104.17154113        -98.77285056
