**********************
RPMD umbrella sampling
**********************

Temperature                             = 300 K
Number of beads                         = 32
Time step                               = 0.0005 ps
Reaction coordinate                     = -0.06000000
Equilibration time                      = 10 ps (20000 steps)
Trajectory evolution time               = 50 ps (100000 steps)
Force constant                          = 30

=============== =============== =========== =============== ===============
total av        total av2       count       xi_mean         xi_var
=============== =============== =========== =============== ===============
 -6007.67401855    364.39466633      100000    -6.00767e-02     3.47320e-05
-12014.51259187    728.40237526      200000    -6.00726e-02     3.32991e-05
-18018.52723858   1091.66347098      300000    -6.00618e-02     3.14635e-05
-24025.90360188   1455.56003214      400000    -6.00648e-02     3.11248e-05
-30030.97220040   1819.36283763      500000    -6.00619e-02     3.12885e-05
-36035.24020561   2182.71399841      600000    -6.00587e-02     3.08052e-05
-42040.56575908   2546.32229492      700000    -6.00580e-02     3.06458e-05
-48046.45208181   2909.67587400      800000    -6.00581e-02     3.01237e-05
-54053.05555140   3273.66184441      900000    -6.00590e-02     3.03245e-05
-60057.43040349   3636.93464262     1000000    -6.00574e-02     3.00397e-05
-66065.05420097   4001.08227290     1100000    -6.00591e-02     3.02472e-05
-72070.59256192   4364.74526959     1200000    -6.00588e-02     3.02250e-05
-78075.56074052   4728.56304713     1300000    -6.00581e-02     3.03780e-05
-84081.72600132   5092.33059232     1400000    -6.00584e-02     3.03705e-05
-90087.18053800   5456.28183290     1500000    -6.00581e-02     3.05434e-05
-96093.17622236   5820.07156183     1600000    -6.00582e-02     3.05531e-05
-102100.00797559   6184.10086978     1700000    -6.00588e-02     3.06435e-05
-108103.09355312   6547.97762071     1800000    -6.00573e-02     3.08892e-05
-114110.74831998   6912.03511032     1900000    -6.00583e-02     3.09152e-05
-120115.93239802   7276.05720471     2000000    -6.00580e-02     3.10693e-05
