**********************
RPMD umbrella sampling
**********************

Temperature                             = 300 K
Number of beads                         = 32
Time step                               = 0.0005 ps
Reaction coordinate                     = -0.10000000
Equilibration time                      = 10 ps (20000 steps)
Trajectory evolution time               = 50 ps (100000 steps)
Force constant                          = 30

=============== =============== =========== =============== ===============
total av        total av2       count       xi_mean         xi_var
=============== =============== =========== =============== ===============
-10009.35325568   1004.98743102      100000    -1.00094e-01     3.11591e-05
-20015.27660351   2009.65332031      200000    -1.00076e-01     3.29842e-05
-30019.15489939   3013.42586992      300000    -1.00064e-01     3.19789e-05
-40024.94648746   4017.80761382      400000    -1.00062e-01     3.20419e-05
-50031.00350999   5021.66037539      500000    -1.00062e-01     3.09155e-05
-60035.02697232   6025.72149701      600000    -1.00058e-01     3.11901e-05
-70040.20094024   7029.62091776      700000    -1.00057e-01     3.08263e-05
-80048.44773142   8034.47940417      800000    -1.00061e-01     3.09837e-05
-90053.40657110   9038.68740710      900000    -1.00059e-01     3.11144e-05
-100060.84959422  10043.42902976     1000000    -1.00061e-01     3.12554e-05
-110068.16111473  11048.05162903     1100000    -1.00062e-01     3.12865e-05
-120073.16669874  12052.56423514     1200000    -1.00061e-01     3.16054e-05
-130079.28636739  13056.96763624     1300000    -1.00061e-01     3.16196e-05
-140085.10501719  14061.33754362     1400000    -1.00061e-01     3.16510e-05
-150094.83870854  15066.67542710     1500000    -1.00063e-01     3.18011e-05
-160098.67296593  16070.97685762     1600000    -1.00062e-01     3.20226e-05
-170105.55967497  17075.52665672     1700000    -1.00062e-01     3.20048e-05
-180111.32563297  18079.67504189     1800000    -1.00062e-01     3.18906e-05
-190116.87590866  19084.25592203     1900000    -1.00062e-01     3.20387e-05
-200123.60284632  20088.10033429     2000000    -1.00062e-01     3.16861e-05
