**********************
RPMD umbrella sampling
**********************

Temperature                             = 300 K
Number of beads                         = 32
Time step                               = 0.0005 ps
Reaction coordinate                     = -0.07000000
Equilibration time                      = 10 ps (20000 steps)
Trajectory evolution time               = 50 ps (100000 steps)
Force constant                          = 30

=============== =============== =========== =============== ===============
total av        total av2       count       xi_mean         xi_var
=============== =============== =========== =============== ===============
 -7008.21466992    494.28775941      100000    -7.00821e-02     3.13703e-05
-14017.13157199    988.79338862      200000    -7.00857e-02     3.19675e-05
-21023.88394051   1482.85732626      300000    -7.00796e-02     3.17056e-05
-28026.88596936   1976.23532322      400000    -7.00672e-02     3.11737e-05
-35032.45661630   2470.10467304      500000    -7.00649e-02     3.11173e-05
-42040.89900950   2964.76484647      600000    -7.00682e-02     3.17270e-05
-49047.08740513   3458.92758358      700000    -7.00673e-02     3.19031e-05
-56049.01716556   3952.37780329      800000    -7.00613e-02     3.18905e-05
-63051.27728322   4445.68159908      900000    -7.00570e-02     3.16665e-05
-70056.22329459   4939.81343484     1000000    -7.00562e-02     3.19390e-05
-77060.18023497   5433.01988438     1100000    -7.00547e-02     3.14467e-05
-84064.71656406   5926.97505867     1200000    -7.00539e-02     3.15927e-05
-91066.70564042   6420.80785408     1300000    -7.00513e-02     3.18966e-05
-98073.68270118   6914.89744147     1400000    -7.00526e-02     3.18414e-05
-105081.79465667   7409.07342448     1500000    -7.00545e-02     3.17451e-05
-112088.56346350   7903.53960818     1600000    -7.00554e-02     3.19599e-05
-119097.53917261   8397.78976921     1700000    -7.00574e-02     3.18404e-05
-126103.37618321   8891.64368181     1800000    -7.00574e-02     3.17584e-05
-133106.63375204   9385.21738858     1900000    -7.00561e-02     3.17277e-05
-140114.65118698   9879.54687352     2000000    -7.00573e-02     3.17446e-05
