**********************
RPMD umbrella sampling
**********************

Temperature                             = 300 K
Number of beads                         = 32
Time step                               = 0.0005 ps
Reaction coordinate                     = 0.32000000
Equilibration time                      = 10 ps (20000 steps)
Trajectory evolution time               = 50 ps (100000 steps)
Force constant                          = 30

=============== =============== =========== =============== ===============
total av        total av2       count       xi_mean         xi_var
=============== =============== =========== =============== ===============
 31994.15096646  10239.20698868      100000     3.19942e-01     2.95003e-05
 63987.86896597  20478.37341647      200000     3.19939e-01     3.06827e-05
 95979.34183194  30716.14557575      300000     3.19931e-01     3.12179e-05
127972.06488711  40954.55708166      400000     3.19930e-01     3.10840e-05
159964.50658114  51192.84497050      500000     3.19929e-01     3.11165e-05
191955.59655396  61430.30826928      600000     3.19926e-01     3.12053e-05
223949.00211460  71669.16986854      700000     3.19927e-01     3.11497e-05
255939.23143767  81905.99991112      800000     3.19924e-01     3.11090e-05
287935.03261830  92146.65196477      900000     3.19928e-01     3.13627e-05
319929.60734262 102386.40206863     1000000     3.19930e-01     3.14484e-05
351921.38803082 112624.18414754     1100000     3.19929e-01     3.13547e-05
383916.23097991 122864.01923533     1200000     3.19930e-01     3.13546e-05
415911.32672732 133104.45310834     1300000     3.19932e-01     3.16907e-05
447903.27983255 143342.18395735     1400000     3.19931e-01     3.14844e-05
479895.84976192 153580.47052142     1500000     3.19931e-01     3.14130e-05
511889.65052273 163819.62882614     1600000     3.19931e-01     3.14031e-05
543881.69256651 174057.69174250     1700000     3.19930e-01     3.14119e-05
575875.78232391 184296.97063490     1800000     3.19931e-01     3.13674e-05
607866.12306534 194533.68748758     1900000     3.19930e-01     3.12417e-05
639856.49433023 204771.07607883     2000000     3.19928e-01     3.14547e-05
