**********************
RPMD umbrella sampling
**********************

Temperature                             = 300 K
Number of beads                         = 32
Time step                               = 0.0005 ps
Reaction coordinate                     = 0.26000000
Equilibration time                      = 10 ps (20000 steps)
Trajectory evolution time               = 50 ps (100000 steps)
Force constant                          = 30

=============== =============== =========== =============== ===============
total av        total av2       count       xi_mean         xi_var
=============== =============== =========== =============== ===============
 25995.43074079   6760.25879981      100000     2.59954e-01     2.63461e-05
 51990.30881743  13520.78326789      200000     2.59952e-01     2.91111e-05
 77987.68001670  20282.53627877      300000     2.59959e-01     2.98072e-05
103979.82227308  27041.96411536      400000     2.59950e-01     3.11388e-05
129972.44305189  33801.08440667      500000     2.59945e-01     3.08250e-05
155964.95066328  40560.28487468      600000     2.59942e-01     3.08475e-05
181961.49640882  47321.81434234      700000     2.59945e-01     3.11916e-05
207955.92320641  54082.20984606      800000     2.59945e-01     3.14092e-05
233947.34648216  60840.50452662      900000     2.59941e-01     3.09792e-05
259940.35662020  67600.22466753     1000000     2.59940e-01     3.12357e-05
285934.62912148  74360.14230544     1100000     2.59941e-01     3.10284e-05
311927.08365952  81119.17016850     1200000     2.59939e-01     3.09019e-05
337920.97733476  87879.08551553     1300000     2.59939e-01     3.09019e-05
363916.32116837  94639.49864993     1400000     2.59940e-01     3.07190e-05
389909.75680117 101399.02756483     1500000     2.59940e-01     3.06324e-05
415903.32185005 108158.61451646     1600000     2.59940e-01     3.05508e-05
441897.91675712 114919.47498522     1700000     2.59940e-01     3.09130e-05
467891.71148033 121679.09771232     1800000     2.59940e-01     3.07785e-05
493888.17131577 128440.34473199     1900000     2.59941e-01     3.07837e-05
519880.49333255 135199.75277426     2000000     2.59940e-01     3.09446e-05
