**********************
RPMD umbrella sampling
**********************

Temperature                             = 300 K
Number of beads                         = 32
Time step                               = 0.0005 ps
Reaction coordinate                     = 0.29000000
Equilibration time                      = 10 ps (20000 steps)
Trajectory evolution time               = 50 ps (100000 steps)
Force constant                          = 30

=============== =============== =========== =============== ===============
total av        total av2       count       xi_mean         xi_var
=============== =============== =========== =============== ===============
 28995.10554724   8409.66218056      100000     2.89951e-01     2.50072e-05
 57990.75217762  16820.66758711      200000     2.89954e-01     3.01545e-05
 86985.52971042  25230.88004649      300000     2.89952e-01     3.09071e-05
115982.75789287  33642.46643564      400000     2.89957e-01     3.11653e-05
144979.22821450  42053.44157885      500000     2.89958e-01     3.09767e-05
173972.81676084  50463.00700366      600000     2.89955e-01     3.12868e-05
202968.56909955  58873.76686143      700000     2.89955e-01     3.14220e-05
231962.84881173  67283.47203623      800000     2.89954e-01     3.12725e-05
260958.23320030  75694.30550228      900000     2.89954e-01     3.16981e-05
289949.16641650  84102.80077205     1000000     2.89949e-01     3.22817e-05
318944.69864500  92513.85530504     1100000     2.89950e-01     3.26612e-05
347938.67048259 100923.56638064     1200000     2.89949e-01     3.26120e-05
376930.89313847 109332.76991723     1300000     2.89947e-01     3.29602e-05
405927.23329371 117744.11762345     1400000     2.89948e-01     3.30847e-05
434919.19532350 126152.64725278     1500000     2.89946e-01     3.30064e-05
463913.98823285 134562.70047558     1600000     2.89946e-01     3.28642e-05
492904.77486433 142970.19883733     1700000     2.89944e-01     3.26024e-05
521899.37644462 151380.26995522     1800000     2.89944e-01     3.25700e-05
550893.11310950 159789.62368631     1900000     2.89944e-01     3.24274e-05
579885.47197262 168198.38193290     2000000     2.89943e-01     3.24008e-05
