**********************
RPMD umbrella sampling
**********************

Temperature                             = 300 K
Number of beads                         = 32
Time step                               = 0.0005 ps
Reaction coordinate                     = -0.09000000
Equilibration time                      = 10 ps (20000 steps)
Trajectory evolution time               = 50 ps (100000 steps)
Force constant                          = 30

=============== =============== =========== =============== ===============
total av        total av2       count       xi_mean         xi_var
=============== =============== =========== =============== ===============
 -9007.56471613    814.63673012      100000    -9.00756e-02     3.27451e-05
-18012.67593244   1628.66332348      200000    -9.00634e-02     3.19043e-05
-27020.70054835   2443.22517841      300000    -9.00690e-02     3.16588e-05
-36027.32904578   3257.62809062      400000    -9.00683e-02     3.17675e-05
-45032.20071917   4071.42955971      500000    -9.00644e-02     3.12627e-05
-54037.78171609   4885.77115439      600000    -9.00630e-02     3.16134e-05
-63042.69556218   5700.03821506      700000    -9.00610e-02     3.19292e-05
-72047.59608924   6513.93174021      800000    -9.00595e-02     3.17020e-05
-81051.83940087   7328.19925052      900000    -9.00576e-02     3.20724e-05
-90058.97347118   8142.64944506     1000000    -9.00590e-02     3.20307e-05
-99067.82800731   8957.45306872     1100000    -9.00617e-02     3.20362e-05
-108073.26174934   9771.21174797     1200000    -9.00611e-02     3.16835e-05
-117080.38859139  10585.49638800     1300000    -9.00618e-02     3.15550e-05
-126083.91825941  11399.08621286     1400000    -9.00599e-02     3.14114e-05
-135091.26098083  12213.30317313     1500000    -9.00608e-02     3.12471e-05
-144097.62243144  13027.33039571     1600000    -9.00610e-02     3.10953e-05
-153102.14012156  13841.42386951     1700000    -9.00601e-02     3.11956e-05
-162111.10294001  14655.71577425     1800000    -9.00617e-02     3.09502e-05
-171114.61160046  15469.09342706     1900000    -9.00603e-02     3.07665e-05
-180120.80507425  16283.23669634     2000000    -9.00604e-02     3.07422e-05
