**********************
RPMD umbrella sampling
**********************

Temperature                             = 300 K
Number of beads                         = 32
Time step                               = 0.0005 ps
Reaction coordinate                     = -0.01000000
Equilibration time                      = 10 ps (20000 steps)
Trajectory evolution time               = 50 ps (100000 steps)
Force constant                          = 30

=============== =============== =========== =============== ===============
total av        total av2       count       xi_mean         xi_var
=============== =============== =========== =============== ===============
 -1004.85546918     12.81568406      100000    -1.00486e-02     2.71834e-05
 -2013.00807434     26.28416064      200000    -1.00650e-02     3.01158e-05
 -3015.75119859     39.71870261      300000    -1.00525e-02     3.13428e-05
 -4023.86042197     52.82459812      400000    -1.00597e-02     3.08649e-05
 -5030.09699823     66.28453212      500000    -1.00602e-02     3.13616e-05
 -6035.22872236     79.53820244      600000    -1.00587e-02     3.13859e-05
 -7038.96876024     92.98184918      700000    -1.00557e-02     3.17147e-05
 -8044.60550737    106.36480894      800000    -1.00558e-02     3.18378e-05
 -9051.43803201    119.63392443      900000    -1.00572e-02     3.17802e-05
-10058.38430506    132.59398242     1000000    -1.00584e-02     3.14229e-05
-11065.83414106    145.48956576     1100000    -1.00598e-02     3.10627e-05
-12072.21058595    159.10653272     1200000    -1.00602e-02     3.13816e-05
-13078.22714045    172.15590294     1300000    -1.00602e-02     3.12205e-05
-14085.07786568    185.28769451     1400000    -1.00608e-02     3.11293e-05
-15091.99259036    198.11098469     1500000    -1.00613e-02     3.08437e-05
-16096.64101189    211.05368746     1600000    -1.00604e-02     3.06969e-05
-17104.56486750    224.80703743     1700000    -1.00615e-02     3.10055e-05
-18113.28159666    237.80083355     1800000    -1.00629e-02     3.08489e-05
-19118.77253381    251.10490562     1900000    -1.00625e-02     3.09063e-05
-20123.17124433    264.45116252     2000000    -1.00616e-02     3.09901e-05
