**********************
RPMD umbrella sampling
**********************

Temperature                             = 300 K
Number of beads                         = 32
Time step                               = 0.0005 ps
Reaction coordinate                     = -0.05000000
Equilibration time                      = 10 ps (20000 steps)
Trajectory evolution time               = 50 ps (100000 steps)
Force constant                          = 30

=============== =============== =========== =============== ===============
total av        total av2       count       xi_mean         xi_var
=============== =============== =========== =============== ===============
 -5004.99163027    253.15199145      100000    -5.00499e-02     2.65258e-05
-10011.92834314    507.27055801      200000    -5.00596e-02     3.03851e-05
-15019.21522669    760.73028693      300000    -5.00641e-02     2.93584e-05
-20025.88948602   1014.60807366      400000    -5.00647e-02     3.00436e-05
-25034.36206189   1268.68056133      500000    -5.00687e-02     3.04840e-05
-30040.38258292   1522.13941489      600000    -5.00673e-02     3.01641e-05
-35046.63705022   1775.95840892      700000    -5.00666e-02     3.04166e-05
-40056.68616176   2030.31476617      800000    -5.00709e-02     3.08027e-05
-45061.16610374   2283.87967239      900000    -5.00680e-02     3.08432e-05
-50063.30437681   2537.39773332     1000000    -5.00633e-02     3.10633e-05
-55068.14329721   2791.00783150     1100000    -5.00619e-02     3.10812e-05
-60074.73595943   3045.16719764     1200000    -5.00623e-02     3.14075e-05
-65076.93818294   3298.71233617     1300000    -5.00592e-02     3.15492e-05
-70084.14709534   3552.29273190     1400000    -5.00601e-02     3.13378e-05
-75090.88108050   3805.83724742     1500000    -5.00606e-02     3.11624e-05
-80094.02812467   4058.80904591     1600000    -5.00588e-02     3.08754e-05
-85099.48195871   4312.89057478     1700000    -5.00585e-02     3.11392e-05
-90105.58436606   4566.73834728     1800000    -5.00587e-02     3.12076e-05
-95112.76197031   4820.39646034     1900000    -5.00593e-02     3.11124e-05
-100117.73997666   5073.74565151     2000000    -5.00589e-02     3.09824e-05
