      100000   105594.9857144686   111505.9727456146    1.05594986e+00    2.96266523e-05  |       -104.89484613       -102.74632925         69.13881231        150.94636225      1.17338845e+02  |        -97.59027015       -102.84790710       -101.40585013       -103.47872187       -102.84719090       -103.14578046       -103.41589840       -103.80788629        -97.09694637       -103.86469366       -103.03019743       -104.83761512       -101.81098356       -106.61081011       -104.36904623        -95.90359245       -105.17592239       -104.25900716       -101.04958658       -105.58933793       -102.61430308       -102.54502607       -103.25966928       -104.79971400       -105.97313606       -100.35552802       -101.49823306       -102.75384152       -102.89199001       -104.29627132       -102.92000037       -101.83757892
      200000   105590.0368200046   111495.6672504627    1.05590037e+00    3.10849396e-05  |       -105.59847075       -102.88235165         71.01241606        132.72156225      1.00851627e+02  |        -97.54564660       -101.80433252       -100.74326705       -104.06886062       -104.01629642       -105.63159279       -102.17481883       -105.38174617       -105.22234747       -105.25747764       -105.29899168       -105.35722837       -106.11893140       -105.51060544        -92.00810867       -103.19106861       -106.69736951       -106.89799252        -94.15491144       -100.12038890       -103.41673886        -98.98461150       -105.34987269       -106.16127343       -105.58561971       -104.42794214       -102.26466484        -92.78152638       -106.31090643       -105.98553249       -102.30013713       -101.46444457
      300000   105596.4186763097   111508.9115047525    1.05596419e+00    2.87513213e-05  |       -105.66353804       -101.90493271         85.69111118        149.28405380      1.33070232e+02  |       -104.32416651        -98.30681676        -95.26412639       -104.43510198       -103.68349930       -103.01533166        -80.55271907       -106.14574367        -87.56549620        -96.63107267       -106.70694519       -104.76273905       -101.23402798       -106.26097551       -105.59451631       -107.27305683       -101.43906201       -108.44613458       -106.71669666       -106.49808112       -104.61259863       -102.82391142       -106.03306273        -97.80542520       -103.74148214       -105.92584271       -100.21008008        -99.15232385       -103.12510230       -104.98091704       -100.60464799        -97.08614322
      400000   105595.9683745617   111507.8125455867    1.05595968e+00    2.72717597e-05  |       -103.88263693       -101.09834584         81.21221401        123.63940626      1.03753274e+02  |       -106.43917917       -107.74391160        -90.27136623       -100.08863296        -93.44156814       -105.84785324       -104.83755662        -92.80897521       -100.99734661        -96.48209468        -98.15779621       -106.60194158       -102.75356597       -100.31870577        -98.65520143       -106.34620347       -108.08524813       -105.34690483       -102.21689564       -101.53501632       -101.49641848       -106.95900983        -99.79235857       -101.63559744        -99.66552612        -96.72768923       -106.80658680       -104.57352724        -97.69617296        -89.68652360        -95.68842804       -105.44326483
      500000   105601.9899426849   111520.9826723880    1.05601990e+00    3.17987384e-05  |       -106.30101240       -103.81633022         88.02666885        122.12686599      1.06337205e+02  |        -98.46879957       -105.90852134        -98.59863801       -106.86058657       -104.48796054       -102.46333104       -103.16527143       -106.68510235       -102.49421237        -99.69657729       -102.25239115       -106.51430158       -106.98877090       -106.51328479       -106.13836266       -100.71959774        -98.41204915       -103.30023423       -105.83980318       -105.83014797       -105.89590960       -105.45306536       -106.89772823        -95.06684492       -105.20923563       -103.40017929       -105.91726707       -105.38732666       -102.47323552       -106.48822512       -102.68251941       -105.91308638
      600000   105596.0392094933   111508.2330922570    1.05596039e+00    2.99812493e-05  |       -104.99630165       -102.46881221         81.58171443        132.63856382      1.11751466e+02  |       -106.65492034       -106.12158152       -106.14336695        -98.48240312        -98.04790986        -90.99339609       -103.83589728        -99.43501593        -99.59409550       -102.99773994       -106.06227163        -98.25235779        -99.69786877       -106.58454567       -105.88897979       -102.91724104       -105.67364783       -105.74025771       -103.97708888       -104.74520826        -98.82820616       -102.50565785       -103.11432727       -105.35068389       -100.77023550        -94.87694557       -104.36605769        -98.98407983       -105.98237544       -105.21768672       -101.64851175       -105.51142914
      700000   105592.7174497220   111501.0205954824    1.05592717e+00    2.80081131e-05  |       -105.81812809       -103.60471618         91.12881365        140.29620103      1.27820299e+02  |       -107.50992904       -106.18444420       -107.78255201       -106.60763938       -104.20803157       -103.61798551       -105.25943395       -103.92250197       -101.02359703       -104.10072709       -104.70145397       -103.58762464       -104.46856560       -101.88340696       -101.76853525       -103.07482569       -106.68513724       -105.44962247        -97.52000593       -101.01925430       -103.94264910       -102.01986722       -102.96189961       -100.60075137        -90.68210262       -104.87292858       -105.12237347        -99.52140394       -106.56606858       -106.73577459       -104.63377361       -107.31605110
      800000   105594.9968374798   111506.2421540989    1.05594997e+00    3.20858303e-05  |       -105.11165179       -103.23491493         79.48594115        156.51496165      1.32765988e+02  |       -105.25644721        -99.08367818       -104.29204648       -104.77648378       -101.75237185       -103.08547871       -103.47609598        -99.85871546       -102.98660686       -100.56133309       -104.08713965       -103.76125867       -105.22702381        -94.66543009       -105.66399112       -103.67225101       -106.50637531       -106.86284431       -103.98740518       -104.90628665       -105.64734367        -98.47697617       -106.07614487       -101.85029463       -102.33508681       -100.44378873       -104.33165917       -102.20653541       -103.15746560       -103.77931388       -105.60585565       -105.13754966
      900000   105586.7111187314   111488.4270568876    1.05586711e+00    2.89140818e-05  |       -104.59782869        -99.98728265         88.71220012        134.74059701      1.23465514e+02  |       -107.38364464       -107.69107984       -103.46603338       -104.26918264       -105.37760127       -104.36047227       -101.26893461       -100.16931750       -102.03014122       -103.71025650       -100.63757768        -93.09213622        -96.83631645       -105.75883768        -90.47172202       -104.27274410        -98.99050768        -96.52079551        -99.56165240        -89.02340788        -94.87573587        -90.57998670       -101.09103255       -101.43292405       -100.73862640        -95.03094379       -104.23440450        -95.87548246       -105.78975613        -88.57029522        -99.61039162       -106.87110407
     1000000   105595.9039858493   111508.1353164242    1.05595904e+00    3.18593054e-05  |       -105.88702803       -102.35944348         78.84088887        140.31231112      1.16793757e+02  |       -105.67251918       -107.24143680       -105.33069998       -105.03468826       -104.20268323        -97.66678407        -93.12324913        -97.70706078        -95.92634984       -101.48543698       -105.75470787       -107.82977356       -100.09511282       -104.61150953        -98.44614046       -105.97189180        -98.32372925       -105.39713683        -99.04462291       -105.38146274       -103.18056253       -107.49037909       -106.23801210        -90.08102987       -104.59658600        -92.78649243       -103.39458700       -104.84853316       -103.00979177       -105.12227922       -104.96855830       -105.53838379
     1100000   105595.3974276082   111506.9235873174    1.05595397e+00    3.04400837e-05  |       -103.85875959       -101.79936497         79.53394608        108.32580272      8.60603838e+01  |        -87.21118175        -93.52417793       -102.30510951       -104.02411452       -100.53435082        -99.46919949        -97.43052903       -103.33449807       -101.03221776       -104.52551549       -104.75846201       -103.41268557       -104.36031857       -105.53693014       -106.42743470       -102.96524799       -105.65593107       -106.46819506       -106.27578626       -103.00603493       -102.22821316       -103.54589586       -103.01047425       -102.23992231       -103.88734731       -100.56504730       -101.89104601       -100.98519927        -96.98629307        -97.83720754       -102.53514883        -99.60996361
     1200000   105594.1664411129   111504.1963205511    1.05594166e+00    2.91645662e-05  |       -104.47653739       -101.39138411         77.29783977        132.24110736      1.08147563e+02  |        -98.82506106       -106.01360101       -100.66241486       -103.70687955        -97.95494426       -102.59221170       -102.40107459       -107.49784175       -107.28747457       -106.70287349        -91.71172417       -102.36493729       -102.97616162        -95.50244992        -94.92262113       -104.83254583       -103.35591143       -104.00377710        -90.94913999        -97.77475461       -102.78227715        -99.12081720       -100.26476553       -106.49635974       -105.02966974       -106.45911628       -101.58181060        -97.67345737        -91.57420539       -100.19154322       -105.17150262       -106.14036682
