**********************
RPMD umbrella sampling
**********************

Temperature                             = 300 K
Number of beads                         = 32
Time step                               = 0.0005 ps
Reaction coordinate                     = 0.20000000
Equilibration time                      = 10 ps (20000 steps)
Trajectory evolution time               = 50 ps (100000 steps)
Force constant                          = 30

=============== =============== =========== =============== ===============
total av        total av2       count       xi_mean         xi_var
=============== =============== =========== =============== ===============
 19997.00131313   4001.59009573      100000     1.99970e-01     2.78948e-05
 39991.47246423   8002.20305162      200000     1.99957e-01     2.80685e-05
 59985.33631512  12002.77091617      300000     1.99951e-01     2.87856e-05
 79978.79799030  16003.41897738      400000     1.99947e-01     2.97466e-05
 99973.09479290  20003.93578025      500000     1.99946e-01     2.93928e-05
119966.01417178  24004.18334942      600000     1.99943e-01     2.96263e-05
139956.55332803  28003.20095526      700000     1.99938e-01     2.93956e-05
159948.47553614  32002.83562083      800000     1.99936e-01     2.93026e-05
179944.85367146  36004.49789071      900000     1.99939e-01     2.95034e-05
199937.75501277  40004.64870472     1000000     1.99938e-01     2.95428e-05
219934.89543603  44006.47094202     1100000     1.99941e-01     2.95536e-05
239927.36564179  48006.90055706     1200000     1.99939e-01     2.99583e-05
259922.14042020  52007.93146997     1300000     1.99940e-01     3.00543e-05
279917.71849403  56009.10205544     1400000     1.99941e-01     3.00070e-05
299914.14453922  60011.25430805     1500000     1.99943e-01     3.03944e-05
319909.32146790  64012.32531230     1600000     1.99943e-01     3.03697e-05
339903.09860522  68013.08494974     1700000     1.99943e-01     3.04941e-05
359896.60290498  72013.35987799     1800000     1.99943e-01     3.03960e-05
379891.10223504  76014.15274884     1900000     1.99943e-01     3.03714e-05
399886.14520894  80015.57764256     2000000     1.99943e-01     3.05565e-05
