**********************
RPMD umbrella sampling
**********************

Temperature                             = 300 K
Number of beads                         = 32
Time step                               = 0.0005 ps
Reaction coordinate                     = 0.34000000
Equilibration time                      = 10 ps (20000 steps)
Trajectory evolution time               = 50 ps (100000 steps)
Force constant                          = 30

=============== =============== =========== =============== ===============
total av        total av2       count       xi_mean         xi_var
=============== =============== =========== =============== ===============
 33995.38839045  11559.69261147      100000     3.39954e-01     2.82829e-05
 67987.53324566  23117.32751026      200000     3.39938e-01     2.90206e-05
101979.99729495  34675.24918502      300000     3.39933e-01     2.94990e-05
135974.13142479  46234.41776059      400000     3.39935e-01     3.00168e-05
169969.56517723  57794.24967204      500000     3.39939e-01     2.98870e-05
203962.06859869  69352.61978042      600000     3.39937e-01     3.06846e-05
237956.44039631  80911.87818381      700000     3.39938e-01     3.07086e-05
271947.44555929  92468.86746326      800000     3.39934e-01     3.07513e-05
305940.83107502 104027.21188905      900000     3.39934e-01     3.04921e-05
339936.37654778 115586.91755341     1000000     3.39936e-01     3.01775e-05
373929.32205113 127145.42770082     1100000     3.39936e-01     3.04401e-05
407919.51196453 138702.01013646     1200000     3.39933e-01     3.06138e-05
441909.80055934 150258.44734323     1300000     3.39931e-01     3.05975e-05
475906.54272927 161819.25149091     1400000     3.39933e-01     3.05687e-05
509904.02093922 173380.78577904     1500000     3.39936e-01     3.06969e-05
543896.67939981 184939.68669085     1600000     3.39935e-01     3.12113e-05
577887.05849550 196496.65084814     1700000     3.39934e-01     3.14374e-05
611879.52301923 208054.94506891     1800000     3.39933e-01     3.15896e-05
645873.61099981 219614.33729842     1900000     3.39933e-01     3.17228e-05
679866.64256399 231172.88570699     2000000     3.39933e-01     3.17799e-05
