**********************
RPMD umbrella sampling
**********************

Temperature                             = 300 K
Number of beads                         = 32
Time step                               = 0.0005 ps
Reaction coordinate                     = 0.27000000
Equilibration time                      = 10 ps (20000 steps)
Trajectory evolution time               = 50 ps (100000 steps)
Force constant                          = 30

=============== =============== =========== =============== ===============
total av        total av2       count       xi_mean         xi_var
=============== =============== =========== =============== ===============
 26995.42558030   7290.12569726      100000     2.69954e-01     2.59567e-05
 53989.04498052  14579.68453901      200000     2.69945e-01     2.79982e-05
 80982.95086875  21869.43441051      300000     2.69943e-01     2.87999e-05
107981.10583587  29161.78091066      400000     2.69953e-01     2.99572e-05
134974.53458855  36451.22666490      500000     2.69949e-01     2.99534e-05
161970.52074681  43742.65660188      600000     2.69951e-01     3.09566e-05
188964.12267169  51032.56376108      700000     2.69949e-01     3.13367e-05
215954.08209062  58319.91462867      800000     2.69943e-01     3.08846e-05
242948.71553048  65610.32403861      900000     2.69943e-01     3.11275e-05
269940.13981038  72898.75031667     1000000     2.69940e-01     3.10712e-05
296932.79411338  80187.98485381     1100000     2.69939e-01     3.11563e-05
323925.71999819  87477.14235510     1200000     2.69938e-01     3.10408e-05
350918.38733437  94766.13413465     1300000     2.69937e-01     3.09230e-05
377912.81330446 102056.19749421     1400000     2.69938e-01     3.09092e-05
404906.22301384 109345.81040770     1500000     2.69937e-01     3.09627e-05
431900.66208895 116635.89895977     1600000     2.69938e-01     3.09595e-05
458892.44167844 123924.84096495     1700000     2.69937e-01     3.11269e-05
485885.47045036 131214.77189394     1800000     2.69936e-01     3.14503e-05
512882.22335496 138506.36820909     1900000     2.69938e-01     3.15581e-05
539877.04571465 145796.62238507     2000000     2.69939e-01     3.15051e-05
