**********************
RPMD umbrella sampling
**********************

Temperature                             = 300 K
Number of beads                         = 32
Time step                               = 0.0005 ps
Reaction coordinate                     = -0.04000000
Equilibration time                      = 10 ps (20000 steps)
Trajectory evolution time               = 50 ps (100000 steps)
Force constant                          = 30

=============== =============== =========== =============== ===============
total av        total av2       count       xi_mean         xi_var
=============== =============== =========== =============== ===============
 -4005.52081580    163.88853326      100000    -4.00552e-02     3.44656e-05
 -8006.65293874    327.14008262      200000    -4.00333e-02     3.30381e-05
-12011.31035379    490.71585875      300000    -4.00377e-02     3.27020e-05
-16015.64279431    653.95761745      400000    -4.00391e-02     3.17640e-05
-20019.35257499    817.54265461      500000    -4.00387e-02     3.19874e-05
-24023.29607657    980.53635094      600000    -4.00388e-02     3.11196e-05
-28031.17954545   1144.30277264      700000    -4.00445e-02     3.11529e-05
-32035.43011383   1307.75612108      800000    -4.00443e-02     3.11502e-05
-36042.47940150   1471.49815111      900000    -4.00472e-02     3.12198e-05
-40048.55052280   1634.78269538     1000000    -4.00486e-02     3.08963e-05
-44051.34778640   1798.15867725     1100000    -4.00467e-02     3.09531e-05
-48061.44001577   1962.14761521     1200000    -4.00512e-02     3.10244e-05
-52067.06604440   2125.64963991     1300000    -4.00516e-02     3.09853e-05
-56074.03562692   2289.18970100     1400000    -4.00529e-02     3.09021e-05
-60079.20132955   2452.99019464     1500000    -4.00528e-02     3.10999e-05
-64083.33346916   2616.52922975     1600000    -4.00521e-02     3.11614e-05
-68089.70029546   2780.47043147     1700000    -4.00528e-02     3.13469e-05
-72096.15944637   2944.59526227     1800000    -4.00534e-02     3.16096e-05
-76102.44088231   3108.34594802     1900000    -4.00539e-02     3.16553e-05
-80104.53167354   3271.62040352     2000000    -4.00523e-02     3.16262e-05
