**********************
RPMD umbrella sampling
**********************

Temperature                             = 300 K
Number of beads                         = 32
Time step                               = 0.0005 ps
Reaction coordinate                     = -0.08000000
Equilibration time                      = 10 ps (20000 steps)
Trajectory evolution time               = 50 ps (100000 steps)
Force constant                          = 30

=============== =============== =========== =============== ===============
total av        total av2       count       xi_mean         xi_var
=============== =============== =========== =============== ===============
 -8008.02717627    644.32918020      100000    -8.00803e-02     3.04419e-05
-16015.29009526   1288.01158280      200000    -8.00765e-02     2.78200e-05
-24022.30371947   1932.28592516      300000    -8.00743e-02     2.90522e-05
-32029.25546895   2576.50299365      400000    -8.00731e-02     2.95499e-05
-40037.74298312   3221.46403050      500000    -8.00755e-02     3.08446e-05
-48046.27556246   3866.06149140      600000    -8.00771e-02     3.10897e-05
-56054.80387064   4511.07078090      700000    -8.00783e-02     3.18541e-05
-64060.20973190   5155.40886238      800000    -8.00753e-02     3.22135e-05
-72064.61584736   5799.51379205      900000    -8.00718e-02     3.24118e-05
-80069.42713479   6443.61567573     1000000    -8.00694e-02     3.25025e-05
-88074.20810168   7087.63187500     1100000    -8.00675e-02     3.25032e-05
-96083.07149455   7731.85132779     1200000    -8.00692e-02     3.21284e-05
-104088.17750715   8375.78683421     1300000    -8.00678e-02     3.20557e-05
-112093.26518478   9020.08685075     1400000    -8.00666e-02     3.22559e-05
-120100.09470595   9664.59491561     1500000    -8.00667e-02     3.23821e-05
-128103.85472999  10308.69476833     1600000    -8.00649e-02     3.25445e-05
-136111.40730342  10953.13089264     1700000    -8.00655e-02     3.25285e-05
-144116.14103535  11597.03231861     1800000    -8.00645e-02     3.24679e-05
-152122.65527063  12241.46003192     1900000    -8.00646e-02     3.25407e-05
-160127.84457941  12885.32155375     2000000    -8.00639e-02     3.24291e-05
