**********************
RPMD umbrella sampling
**********************

Temperature                             = 300 K
Number of beads                         = 32
Time step                               = 0.0005 ps
Reaction coordinate                     = 1.15000000
Equilibration time                      = 10 ps (20000 steps)
Trajectory evolution time               = 50 ps (100000 steps)
Force constant                          = 30

=============== =============== =========== =============== ===============
total av        total av2       count       xi_mean         xi_var
=============== =============== =========== =============== ===============
115086.20139696 132451.49443660      100000     1.15086e+00     3.15692e-05
230174.49719248 264907.65687269      200000     1.15087e+00     3.08054e-05
345259.25724318 397355.91749161      300000     1.15086e+00     3.13393e-05
460343.46166494 529802.80907389      400000     1.15086e+00     3.13808e-05
575431.53505332 662258.37308713      500000     1.15086e+00     3.09400e-05
690518.03740422 794710.51552721      600000     1.15086e+00     3.09704e-05
805604.91358369 927163.53404137      700000     1.15086e+00     3.10144e-05
920690.29881996 1059613.12239199      800000     1.15086e+00     3.10493e-05
1035776.28025148 1192064.04265838      900000     1.15086e+00     3.10317e-05
1150860.40507720 1324510.97944245     1000000     1.15086e+00     3.13075e-05
1265947.65262283 1456964.75703456     1100000     1.15086e+00     3.12178e-05
1381033.59720946 1589415.48397202     1200000     1.15086e+00     3.11001e-05
1496121.35224121 1721870.18101087     1300000     1.15086e+00     3.08489e-05
1611210.36340756 1854328.05753093     1400000     1.15086e+00     3.08395e-05
1726296.54885636 1986779.19220976     1500000     1.15086e+00     3.06728e-05
1841385.67146090 2119237.40913548     1600000     1.15087e+00     3.07280e-05
1956474.40905106 2251694.34128155     1700000     1.15087e+00     3.05422e-05
2071557.54125681 2384138.59923487     1800000     1.15087e+00     3.05037e-05
2186644.03068214 2516590.88520069     1900000     1.15087e+00     3.06274e-05
2301728.81716618 2649039.21878571     2000000     1.15086e+00     3.07224e-05
