**********************
RPMD umbrella sampling
**********************

Temperature                             = 300 K
Number of beads                         = 32
Time step                               = 0.0005 ps
Reaction coordinate                     = 0.18000000
Equilibration time                      = 10 ps (20000 steps)
Trajectory evolution time               = 50 ps (100000 steps)
Force constant                          = 30

=============== =============== =========== =============== ===============
total av        total av2       count       xi_mean         xi_var
=============== =============== =========== =============== ===============
 17997.44260948   3241.93386589      100000     1.79974e-01     2.85446e-05
 35991.50827879   6483.09848418      200000     1.79958e-01     3.07757e-05
 53984.68886999   9723.80345397      300000     1.79949e-01     3.10489e-05
 71979.53220795  12965.01444059      400000     1.79949e-01     3.09545e-05
 89973.29927777  16205.67401844      500000     1.79947e-01     3.05697e-05
107971.02537977  19448.24422133      600000     1.79952e-01     3.11228e-05
125965.85588241  22689.40252337      700000     1.79951e-01     3.09896e-05
143958.16726829  25929.88589781      800000     1.79948e-01     3.11794e-05
161952.27404394  29171.08230545      900000     1.79947e-01     3.14012e-05
179941.47684070  32410.76548400     1000000     1.79941e-01     3.18304e-05
197935.64709857  35651.63054115     1100000     1.79941e-01     3.16307e-05
215931.95748256  38893.54384259     1200000     1.79943e-01     3.16961e-05
233925.78287715  42134.27912530     1300000     1.79943e-01     3.15331e-05
251920.68567984  45375.52967700     1400000     1.79943e-01     3.14845e-05
269916.31179898  48617.30894017     1500000     1.79944e-01     3.16213e-05
287911.61140639  51859.08766458     1600000     1.79945e-01     3.18142e-05
305904.78768323  55100.23119366     1700000     1.79944e-01     3.20602e-05
323898.69015421  58341.33223803     1800000     1.79944e-01     3.21100e-05
341895.01631593  61583.11521914     1900000     1.79945e-01     3.20545e-05
359891.32985823  64824.65551356     2000000     1.79946e-01     3.18854e-05
