      100000   101160.0587063008   102337.3779350904    1.01160059e+00    3.80316047e-05  |        -99.34990701        -99.32031194         96.21981700         70.17115563      6.70706607e+01  |       -100.67851140       -100.00074929       -100.33080823       -100.84010686       -100.68931575       -100.81187631        -97.77565703        -98.27031570        -96.47314761        -97.26204371        -97.10073300        -98.70221500        -99.01159818        -98.25649911        -96.15652849        -99.07535157        -99.30557647       -100.02359654        -99.76259621        -98.97072423        -99.05949143       -100.68863386        -99.58743067        -99.42913796        -97.70314000        -99.20229366        -99.74426433        -99.33988483        -98.85193859       -100.90073635       -102.31605395       -101.92902582
      200000   101177.5711713609   102372.6584139147    1.01177571e+00    3.64933256e-05  |        -99.40237593        -98.69683392         88.39493717        143.86181491      1.33559918e+02  |        -99.99636668        -99.16431973        -99.39497225        -97.91500195        -96.70592290       -100.27155630       -100.14757802       -102.81924102        -98.62680311       -102.98071580       -101.49520317        -98.02150506       -100.25113310        -98.00972532        -98.97161506        -99.58573856        -99.90083544        -99.82824877        -98.20869892       -100.73424588        -98.59397982        -97.35916652        -99.32929819       -102.66426726        -79.73116131        -95.31453243       -101.90167291        -98.17360623        -96.53969157        -99.14263401        -99.00104566        -97.51820240
      300000   101179.8021598582   102377.1238619081    1.01179802e+00    3.60021083e-05  |        -98.93951124        -95.24948329         76.63475825        132.17749887      1.13562774e+02  |        -91.47835412        -97.01772558        -92.48622168        -95.15505719        -93.78889392        -97.66940993        -98.62784988        -99.15728569        -98.86398490        -99.94341062        -98.01995039       -100.53523359        -91.34164714        -96.83055120        -76.28036005        -91.50421033        -94.02015322        -95.96072612        -83.45329605        -90.42794287        -97.24323771       -100.16289309        -99.57655426       -101.14559202        -98.77161226        -99.53501572        -99.49646952        -96.83318980        -89.50617190        -92.46432230        -95.93338717        -94.75275502
      400000   101177.8840435274   102373.2036413775    1.01177884e+00    3.56144612e-05  |        -96.22624863        -97.26807734         83.86201540        137.70748533      1.24301423e+02  |        -96.99712058       -100.69251385        -94.17521163        -99.66626532        -98.53821334       -100.47124839        -99.53405828        -94.52706778        -93.41120932        -87.14830080        -87.50240994       -101.69502475       -101.29986295        -94.41099045       -100.45439517        -92.75257929       -105.94046540       -103.38428102       -102.43813952        -98.56485136       -101.65020768        -94.09268830        -90.14164279        -91.61305539        -95.12684790        -94.96484149        -98.81126664        -97.40725809        -99.07694174        -97.59759386       -100.97773020        -97.51419169
      500000   101180.3433240822   102378.4081562680    1.01180343e+00    3.78940448e-05  |        -98.13141375        -99.12618974         81.97653809        174.54247529      1.57392824e+02  |       -102.06523856       -103.79942898       -101.33509725        -95.11308495        -99.26149836       -100.67502930        -97.77488858       -102.69803261        -91.82763008       -105.45525822       -102.09302894       -102.87460444       -103.63955294       -101.90160467        -92.67162793        -90.11089723        -97.88860929        -91.71760864        -89.75077610       -101.45532288       -103.78485591       -101.23201631       -101.18205779       -102.73411144        -98.09265257       -102.06794830        -93.87526422        -97.02479478        -99.69222747        -96.15323732       -100.31171172       -101.77837394
      600000   101174.9551097965   102367.3881121695    1.01174955e+00    3.67269748e-05  |        -96.58284288        -99.21742440         93.06678778        172.89986005      1.66749223e+02  |       -105.53032619       -103.82468775       -100.48482552        -99.66869150        -95.62409667       -102.59858793       -100.68848956        -97.64493335        -92.28605179       -101.11000021       -101.39606342       -100.49994256       -101.33575781        -93.97085045       -102.69167186        -99.22645422        -79.89444021        -94.48839634        -96.07469771        -95.72646004       -101.12204525       -101.54859388       -101.31671453       -104.35166536        -95.50021525       -104.23177355       -103.22791212       -101.93900956        -93.89676741       -100.11830266       -102.01871655       -100.92043959
      700000   101177.4094529862   102372.2843512937    1.01177409e+00    3.60251512e-05  |        -99.63849294        -98.07172569         81.46430432        138.37945497      1.21772034e+02  |        -99.71706667       -101.57083633       -101.25713832       -100.67878630       -100.63933449        -98.74748716        -95.73597989        -99.18921764        -99.94619877       -100.24552127        -99.41980356        -97.05980626        -94.18126996        -91.80913462        -95.64223102        -93.32964291        -98.86444971        -95.74046987        -92.09408679        -93.22125903        -96.11941226        -97.61978595        -96.79595605        -99.87521629        -97.47612362        -99.48961997        -97.74135603        -99.18091874        -99.84562647       -102.08292007       -101.10018749       -101.87837863
      800000   101179.3667023580   102376.5295844335    1.01179367e+00    3.88712153e-05  |        -98.92747962        -98.25002165         77.17125737        117.74620747      9.66674432e+01  |       -100.74924311        -95.85204823       -100.20344066       -100.46041572        -99.49426646        -99.24480942       -100.01053578        -99.52695936        -95.12362152        -94.88676076        -99.54804826        -97.73381041        -99.18152834        -93.80503217        -98.57468229        -95.57725779       -100.77109966        -99.70559890        -94.88917020        -97.14087057        -97.05802723        -98.91729068        -99.12089094        -97.19874320        -94.80277261       -101.28769302        -99.98230627       -100.24835245        -98.86315464       -100.19111996        -96.99965337        -96.85148872
      900000   101175.2588395160   102367.9985432290    1.01175259e+00    3.66853080e-05  |        -98.41069392        -96.34355277         83.30000966        121.58335997      1.08539817e+02  |        -95.39015210        -95.07192540        -89.95618706        -98.72552362        -98.88064556        -98.72399404        -90.86682714        -96.70503409        -99.62880164        -96.83829260        -99.19947704        -98.79682942        -98.08066200        -96.39553039        -99.06517135       -100.25247195        -86.61574254        -97.75880426        -95.81215255        -97.34499430        -95.06984287        -98.82711963        -98.24780209        -97.79472576        -97.80686421        -92.31803089        -94.92732410        -96.87567956        -98.69999617        -97.06710769        -90.65471696        -94.59525960
     1000000   101170.7358833334   102358.8630711379    1.01170736e+00    3.68507939e-05  |        -99.24293794        -98.98946528         76.82051557        131.80954182      1.09640592e+02  |       -102.72692020       -101.85862492        -99.43643258       -102.71613286        -99.54003154        -99.30823784       -101.77150259       -102.77020638        -99.99736512        -94.89323936        -99.51882465       -101.98972594       -100.07636419       -102.14249105        -99.51414008        -91.25209719        -91.43638584        -82.86222715       -100.46263431       -101.45189297       -100.07074612       -101.54466846       -100.55809845        -99.00162710        -97.35036883        -94.96280805       -101.54414449        -97.10222575        -97.19919056       -102.07657914       -100.18039277       -100.34656262
