**********************
RPMD umbrella sampling
**********************

Temperature                             = 300 K
Number of beads                         = 32
Time step                               = 0.0005 ps
Reaction coordinate                     = 0.31000000
Equilibration time                      = 10 ps (20000 steps)
Trajectory evolution time               = 50 ps (100000 steps)
Force constant                          = 30

=============== =============== =========== =============== ===============
total av        total av2       count       xi_mean         xi_var
=============== =============== =========== =============== ===============
 30993.87460171   9608.67550959      100000     3.09939e-01     2.47288e-05
 61986.84280378  19217.97720894      200000     3.09934e-01     3.06690e-05
 92983.04908989  28828.56965351      300000     3.09943e-01     3.02609e-05
123974.42187703  38436.54623769      400000     3.09936e-01     3.10076e-05
154965.73350483  48044.24999470      500000     3.09931e-01     3.09857e-05
185956.12402860  57651.17232180      600000     3.09927e-01     3.06204e-05
216949.34916005  67260.11747484      700000     3.09928e-01     3.07390e-05
247942.91320782  76869.46084146      800000     3.09929e-01     3.10632e-05
278940.59634942  86480.86081747      900000     3.09934e-01     3.07635e-05
309933.22890851  96089.61087177     1000000     3.09933e-01     3.10045e-05
340927.59047341 105699.51020696     1100000     3.09934e-01     3.12721e-05
371917.49418119 115306.22529302     1200000     3.09931e-01     3.11444e-05
402909.97846773 124914.62814905     1300000     3.09931e-01     3.11041e-05
433903.00729863 134523.29126265     1400000     3.09931e-01     3.10143e-05
464900.68382436 144134.65291975     1500000     3.09934e-01     3.08149e-05
495893.83844037 153743.56828205     1600000     3.09934e-01     3.08634e-05
526886.48743624 163351.90542307     1700000     3.09933e-01     3.07504e-05
557882.63742689 172962.36688215     1800000     3.09935e-01     3.06245e-05
588875.75978401 182571.15869839     1900000     3.09935e-01     3.06208e-05
619868.70332439 192180.07029174     2000000     3.09934e-01     3.07328e-05
