      100000    13995.7520457760     1961.5053942616    1.39957520e-01    2.69464099e-05  |       -109.49537195       -106.24582883         90.77896667         78.71545062      6.32485885e+01  |       -102.93505665       -104.21996173       -109.49585009       -107.57662083       -109.49678077       -108.85332934       -101.56243537        -92.64478457       -100.87700517       -104.15570351       -106.63457294       -106.37533763       -106.70469518       -108.30068403       -107.54449694       -106.27651444       -108.88415072       -103.82126412       -107.06443007       -109.00082784       -109.24787529       -108.04450354        -98.61221132       -106.47801657       -106.68484537       -107.03711704       -109.44450767       -107.50028592       -107.19374732       -108.92807725       -108.81060153       -109.46023175
      200000    13994.8300208558     1962.3788011568    1.39948300e-01    3.82612803e-05  |       -109.43893581       -106.97042964         97.59213872        176.27058730      1.66892296e+02  |        -98.77038084       -109.45311043       -109.49607581       -109.40615261       -107.99826988       -107.39966881       -109.46672725       -104.18062958        -99.65554979       -108.15505484       -108.05868178       -106.24237984       -107.40108745       -109.37084362       -108.35380880       -107.11246363       -104.67840700       -109.18744430       -108.53813199       -103.45815962       -109.49259701       -105.94076728       -109.48595618       -106.35069720       -104.68985921       -107.06120277       -108.26312790       -109.49342646       -109.32919682       -109.08641994       -108.00302264        -99.47444712
      300000    13991.5756088258     1960.8554219114    1.39915756e-01    3.21354174e-05  |       -109.47230022       -106.15856988         85.49819265        114.76868282      9.41083056e+01  |       -107.16996484       -106.13009632       -109.49512203       -108.56745573       -108.64708597       -109.15735565       -107.84094174       -104.81870722       -105.27735059       -108.69030626       -107.52723737       -101.02820378       -109.47171889       -107.73278969       -105.80628152        -94.64343340        -81.30433034       -100.88534222       -109.49769313       -107.43590359       -109.46875027       -104.29583756       -109.23548250       -109.41806799       -106.64931639       -109.43846103       -107.79955371       -109.23671057       -108.26480467       -107.36088613       -106.62438753       -108.15465766
      400000    13993.3201289866     1961.1247619044    1.39933201e-01    2.99467958e-05  |       -109.17559785       -106.27029665         83.84567121        138.37287714      1.15948252e+02  |       -108.34718296       -101.48488629       -105.47133774       -108.72910285       -109.28498032       -109.49753990       -107.48565258       -103.16409905       -104.84337482        -92.50352060       -106.64456838       -106.14300337       -107.69778202       -108.73161901       -109.49083428       -106.18526371       -109.33179448       -109.47569548       -109.29448878       -109.47169233       -108.84470242       -109.24508792       -102.56073342       -107.04964954        -97.25273215       -109.18253124       -109.34474750       -109.48787363       -104.32795264        -98.50619684       -107.50488342       -104.06398317
      500000    13993.5111377047     1961.1729903358    1.39935111e-01    2.98945073e-05  |       -109.47942464       -105.80152407         90.90229082        133.87504685      1.18975814e+02  |       -107.87283673       -106.84137742       -109.49756173       -107.26281942       -109.29472782       -107.77197147       -106.32109292       -108.83809047        -98.30212520       -108.18116737       -109.39588874       -108.79760825       -100.70329413        -92.99838987       -103.06315670       -107.11079727        -97.70399627       -108.99026204       -106.90067071        -91.79055918       -100.36377327       -107.58487145       -108.76667408       -108.65734533       -109.46210912       -106.09395231       -107.31787366       -108.55996260       -107.28682510       -107.33911207       -109.44924833       -107.12862929
      600000    13992.4643846983     1961.1531360310    1.39924644e-01    3.26254046e-05  |       -107.23016656       -105.27028762         86.19134316        145.88372591      1.26804781e+02  |       -106.72135174       -109.43127939       -109.00411678       -102.43531414       -104.38066103       -107.50677791       -107.08208719        -99.08602270       -104.03189885       -108.44492234       -108.78639884       -104.26375111       -108.37784217       -103.40135294        -96.81828091       -105.04118098       -108.77306000        -97.67695378        -97.45633826       -108.45037976       -104.56071204       -107.86762079       -109.37368680       -109.27020247       -103.12088505        -98.72254995       -105.05111279       -104.05969638       -107.57001860       -104.98937376       -109.03618895       -107.85718553
      700000    13993.1270528379     1961.4007473432    1.39931271e-01    3.32470017e-05  |       -109.16836542       -107.72174756         90.49687575        128.70504117      1.11480169e+02  |       -105.05310019       -108.21337570       -109.05666663       -107.07881112       -108.97003316       -106.09235241       -107.80820891       -105.51513702       -106.70381232       -108.38854142       -107.14069148       -109.29957939       -107.68646019       -109.48094898       -105.99358801       -109.25675746       -109.26317746       -104.19337660       -107.34553337       -108.80974691       -109.45918967       -108.97983094       -109.48900428       -107.56602853       -106.43609599       -109.28647297       -106.89068340       -102.13208516       -109.18464788       -108.99364520       -109.24213968       -108.08619961
      800000    13994.1308289661     1961.9306210371    1.39941308e-01    3.57364445e-05  |       -109.47292977       -106.94324163         80.86002498        147.69387283      1.21610656e+02  |       -108.22793567       -107.54588860       -104.27306825       -104.55523362       -103.15219863       -109.45177559       -109.49609176       -109.37709491       -105.75107904       -108.44711236       -109.17752987       -109.48980799       -106.96545779       -108.71292918       -104.88249043       -109.46455636       -107.53820925       -108.19445484       -101.32816724       -109.36821934       -108.87307957       -102.88134190       -109.41864536       -106.87373962       -109.15938305       -105.43098455       -107.30128697       -109.49774055       -108.91432357       -105.15458809        -99.39387869       -103.88543939
      900000    13996.5063715903     1962.1447531279    1.39965064e-01    3.12284703e-05  |       -109.36265925       -106.75507659         76.84875718        127.30841577      9.74020964e+01  |       -109.06098313       -108.12770643       -107.69517677       -108.67363453       -108.57712915       -109.13978815       -109.42188400       -107.57122151       -106.33418832        -92.74826183       -108.89121660       -107.77836849       -109.48798458       -109.10885807       -109.14890307       -105.72583358       -104.58419876       -106.43034456       -109.47673468       -105.90714495       -108.63669461       -107.37781049       -107.91098602        -90.39823907       -106.73052158       -108.34230569       -103.92622802       -101.86395644       -109.32826070       -109.47058618       -108.79194247       -109.49535841
     1000000    13993.6500287983     1961.1281176965    1.39936500e-01    2.90570641e-05  |       -109.49002661       -105.05072050         96.70380002        139.10865021      1.30761730e+02  |       -102.07595641       -101.74332156        -88.70765904        -93.42924613       -104.25442740       -105.55295546       -108.20900354       -108.98074653       -107.84203265       -108.01612044       -106.51464587       -106.69300685       -103.53317678        -99.17557501       -109.49156321       -109.44765854       -109.13338323       -109.46882274       -107.44124080       -108.85831544       -109.35303101       -109.13972741        -97.36462653       -108.26831903       -106.68010188       -108.92507081       -109.34014007       -109.49271848        -95.49965588       -100.28127383       -101.44320726       -107.26632625
     1100000    13995.9281818321     1962.1122914535    1.39959282e-01    3.25223474e-05  |       -109.49563538       -106.32659713         80.17063851        133.61987521      1.07463917e+02  |        -85.76718761       -101.78776704       -102.93356722       -109.10556803       -106.69805337       -107.63462942       -103.71796408       -108.95576973       -109.42528843       -104.93179668       -109.48839897       -109.47357484       -108.30260521       -107.08875689       -109.49450963       -101.42944222       -108.33338639       -108.71090873       -108.86345959       -109.49555018       -108.20312322       -109.46868447       -108.01772223       -105.62384009       -103.78696241       -109.29340713       -101.27925759       -109.05096184       -108.57294899       -109.41871833       -107.22600876       -100.87128875
